Ticker,Companies,CEO Pay,,,,,,,,,,,,,,,,
MCO,Moodys,9750157,,,,,,,,,,,,,,,,
MDLZ,Mondelez International,16128320,,,,,,,,,,,,,,,,
MDT,Medtronic,16471649,,,,,,,,,,,,,,,,
MET,MetLife,16621373,,,,,,,,,,,,,,,,
MGM,MGM Resorts International,13274524,,,,,,,,,,,,,,,,
MHK,Mohawk Industries,5190696,,,,,,,,,,,,,,,,
MKC,McCormick & Company orporated,12718656,,,,,,,,,,,,,,,,
MKTX,MarketAxess Holdings,5742184,,,,,,,,,,,,,,,,
MLM,Martin Marietta Materials,14939587,,,,,,,,,,,,,,,,
MMC,Marsh & McLennan Companies,21519703,,,,,,,,,,,,,,,,
MMM,3M Company,18200584,,,,,,,,,,,,,,,,
MNST,Monster Beverage,16707577,,,,,,,,,,,,,,,,
MO,Altria Group,12626972,,,,,,,,,,,,,,,,
MOH,Molina Healthcare,19961698,,,,,,,,,,,,,,,,
MOS,The Mosaic Company,12297011,,,,,,,,,,,,,,,,
MPC,Marathon Petroleum,21185206,,,,,,,,,,,,,,,,
MPWR,Monolithic Power Systems,20254831,,,,,,,,,,,,,,,,
MRK,Merck & Co,13722121,,,,,,,,,,,,,,,,
MRNA,Moderna,18155739,,,,,,,,,,,,,,,,
MRO,Marathon Oil,12997292,,,,,,,,,,,,,,,,
MS,Morgan Stanley,34941635,,,,,,,,,,,,,,,,
MSCI,MSCI,10338312,,,,,,,,,,,,,,,,
MSFT,Microsoft,49858280,,,,,,,,,,,,,,,,
MSI,Motorola Solutions,19980639,,,,,,,,,,,,,,,,
MTB,M&T Bank,6868174,,,,,,,,,,,,,,,,
MTCH,Match Group,25397675,,,,,,,,,,,,,,,,
MTD,Mettler-Toledo International,11811322,,,,,,,,,,,,,,,,
MU,Micron Technology,25316709,,,,,,,,,,,,,,,,
NCLH,Norwegian Cruise Line Holdings Ltd,19668768,,,,,,,,,,,,,,,,
NDAQ,Nasdaq,19965893,,,,,,,,,,,,,,,,
NDSN,Nordson,10308750,,,,,,,,,,,,,,,,
NEE,NextEra Energy,25335936,,,,,,,,,,,,,,,,
NEM,Newmont,12667105,,,,,,,,,,,,,,,,
NFLX,Netflix,40823725,,,,,,,,,,,,,,,,
NI,NiSource,9535782,,,,,,,,,,,,,,,,
NKE,NIKE,32920708,,,,,,,,,,,,,,,,
NOC,Northrop Grumman,19876767,,,,,,,,,,,,,,,,
NOW,ServiceNow,165802037,,,,,,,,,,,,,,,,
NRG,NRG Energy,10854224,,,,,,,,,,,,,,,,
NSC,Norfolk Southern,14016942,,,,,,,,,,,,,,,,
NTAP,NetApp,14358852,,,,,,,,,,,,,,,,
NTRS,Northern Trust,10449233,,,,,,,,,,,,,,,,
NUE,Nucor,11618019,,,,,,,,,,,,,,,,
NVDA,NVIDIA,23737661,,,,,,,,,,,,,,,,
NVR,NVR,4162400,,,,,,,,,,,,,,,,
NWL,Newell Brands,11438798,,,,,,,,,,,,,,,,
NWS,News,23024845,,,,,,,,,,,,,,,,
O,Realty Income,12861011,,,,,,,,,,,,,,,,
ODFL,Old Dominion Freight Line,10577833,,,,,,,,,,,,,,,,
OGN,Organon & Co,16787623,,,,,,,,,,,,,,,,
OKE,ONEOK,7246578,,,,,,,,,,,,,,,,
OMC,Omnicom Group,19981715,,,,,,,,,,,,,,,,
ORCL,Oracle,10631223,,,,,,,,,,,,,,,,
ORLY,O'Reilly Automotive,12764270,,,,,,,,,,,,,,,,
OTIS,Otis Worldwide,13770306,,,,,,,,,,,,,,,,
OXY,Occidental Petroleum,11068539,,,,,,,,,,,,,,,,
PARA,Paramount Global,20035212,,,,,,,,,,,,,,,,
PAYC,Paycom Software,2958410,,,,,,,,,,,,,,,,
PAYX,Paychex,9627247,,,,,,,,,,,,,,,,
PCAR,PACCAR,11935763,,,,,,,,,,,,,,,,
PEAK,Healthpeak Properties,11713883,,,,,,,,,,,,,,,,
PEG,Public Service Enterprise Group orporated,14208674,,,,,,,,,,,,,,,,
PEP,PepsiCo,25506607,,,,,,,,,,,,,,,,
PFE,Pfizer,24353219,,,,,,,,,,,,,,,,
PFG,Principal Financial Group,17566163,,,,,,,,,,,,,,,,
PG,The Procter & Gamble Company,23900381,,,,,,,,,,,,,,,,
PGR,The Progressive,14462961,,,,,,,,,,,,,,,,
PH,Parker-Hannifin,17034500,,,,,,,,,,,,,,,,
PHM,PulteGroup,16149555,,,,,,,,,,,,,,,,
PKG,Packaging of America,12157313,,,,,,,,,,,,,,,,
PKI,PerkinElmer,9661006,,,,,,,,,,,,,,,,
PLD,Prologis,24901490,,,,,,,,,,,,,,,,
PM,Philip Morris International,10557568,,,,,,,,,,,,,,,,
PNC,The PNC Financial Services Group,17506270,,,,,,,,,,,,,,,,
PNR,Pentair,9429546,,,,,,,,,,,,,,,,
PNW,Pinnacle West Capital,8100157,,,,,,,,,,,,,,,,
POOL,Pool,5575384,,,,,,,,,,,,,,,,
PPG,PPG Industries,13418214,,,,,,,,,,,,,,,,
PPL,PPL,11356481,,,,,,,,,,,,,,,,
PRU,Prudential Financial,19799737,,,,,,,,,,,,,,,,
PSA,Public Storage,10358153,,,,,,,,,,,,,,,,
PSX,Phillips 66,20953206,,,,,,,,,,,,,,,,
PTC,PTC,13048375,,,,,,,,,,,,,,,,
PWR,Quanta Services,10967217,,,,,,,,,,,,,,,,
PXD,Pioneer Natural Resources Company,16002825,,,,,,,,,,,,,,,,
PYPL,PayPal Holdings,32070353,,,,,,,,,,,,,,,,
QCOM,QUALCOMM orporated,20638924,,,,,,,,,,,,,,,,
QRVO,Qorvo,10072684,,,,,,,,,,,,,,,,
RCL,Royal Caribbean Group,15812027,,,,,,,,,,,,,,,,
RE,Everest Re Group Ltd,8866126,,,,,,,,,,,,,,,,
REG,Regency Centers,7026315,,,,,,,,,,,,,,,,
REGN,Regeneron Pharmaceuticals,6470514,,,,,,,,,,,,,,,,
RF,Regions Financial,13444577,,,,,,,,,,,,,,,,
RHI,Robert Half International,8971474,,,,,,,,,,,,,,,,
RJF,Raymond James Financial,13901046,,,,,,,,,,,,,,,,
RL,Ralph Lauren,18553058,,,,,,,,,,,,,,,,
RMD,ResMed,10389315,,,,,,,,,,,,,,,,
ROK,Rockwell Automation,13583470,,,,,,,,,,,,,,,,
ROL,Rollins,8393601,,,,,,,,,,,,,,,,
ROP,Roper Technologies,21532055,,,,,,,,,,,,,,,,
ROST,Ross Stores,15989635,,,,,,,,,,,,,,,,
RSG,Republic Services,7925408,,,,,,,,,,,,,,,,
RTX,Raytheon Technologies,23316063,,,,,,,,,,,,,,,,
SBAC,SBA Communications,9995179,,,,,,,,,,,,,,,,
SBNY,Signature Bank,8975851,,,,,,,,,,,,,,,,
SBUX,Starbucks,20425162,,,,,,,,,,,,,,,,
SCHW,The Charles Schwab,21938404,,,,,,,,,,,,,,,,
SEDG,SolarEdge Technologies,7361336,,,,,,,,,,,,,,,,
SEE,Sealed Air,9674692,,,,,,,,,,,,,,,,
SHW,The Sherwin-Williams Company,15843760,,,,,,,,,,,,,,,,
SIVB,SVB Financial Group,9922132,,,,,,,,,,,,,,,,
SJM,The J M Smucker Company,12450437,,,,,,,,,,,,,,,,
SLB,Schlumberger NV,16795502,,,,,,,,,,,,,,,,
SNA,Snap-on orporated,9872946,,,,,,,,,,,,,,,,
SNPS,Synopsys,9976485,,,,,,,,,,,,,,,,
SO,The Southern Company,21243559,,,,,,,,,,,,,,,,
SPG,Simon Property Group,10475192,,,,,,,,,,,,,,,,
SPGI,S&P Global,16143770,,,,,,,,,,,,,,,,
SRE,Sempra Energy,24675982,,,,,,,,,,,,,,,,
STE,STERIS (Ireland),5903168,,,,,,,,,,,,,,,,
STT,State Street,14113660,,,,,,,,,,,,,,,,
STX,Seagate Technology Holdings,11641189,,,,,,,,,,,,,,,,
STZ,Constellation Brands,12040281,,,,,,,,,,,,,,,,
SWK,Stanley Black & Decker,13167893,,,,,,,,,,,,,,,,
SWKS,Skyworks Solutions,16150421,,,,,,,,,,,,,,,,
SYF,Synchrony Financial,8880347,,,,,,,,,,,,,,,,
SYK,Stryker,16359898,,,,,,,,,,,,,,,,
SYY,Sysco,23197124,,,,,,,,,,,,,,,,
T,AT&T,24820879,,,,,,,,,,,,,,,,
TAP,Molson Coors Beverage Company,8234680,,,,,,,,,,,,,,,,
TDG,TransDigm Group orporated,21484504,,,,,,,,,,,,,,,,
TDY,Teledyne Technologies orporated,6567058,,,,,,,,,,,,,,,,
TECH,Bio-Techne,15889897,,,,,,,,,,,,,,,,
TEL,TE Connectivity Ltd,14715856,,,,,,,,,,,,,,,,
TER,Teradyne,10954713,,,,,,,,,,,,,,,,
TFC,Truist Financial,10395426,,,,,,,,,,,,,,,,
TFX,Teleflex orporated,8673634,,,,,,,,,,,,,,,,
TGT,Target,19758766,,,,,,,,,,,,,,,,
TJX,The TJX Companies,31802000,,,,,,,,,,,,,,,,
TMO,Thermo Fisher Scientific,21234358,,,,,,,,,,,,,,,,
TMUS,T-Mobile US,22610659,,,,,,,,,,,,,,,,
TPR,Tapestry,12548591,,,,,,,,,,,,,,,,
TRMB,Trimble,13956821,,,,,,,,,,,,,,,,
TROW,T Rowe Price Group,17127330,,,,,,,,,,,,,,,,
TRV,The Travelers Companies,19853697,,,,,,,,,,,,,,,,
TSCO,Tractor Supply Company,11117251,,,,,,,,,,,,,,,,
TSLA,Tesla,0,,,,,,,,,,,,,,,,
